% File: interest_4-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'declines expect managers portfolio', 'rates', 'NNS VBP NNS NN', 'NNS', 'money paid for the use of money'
'declining indicate thought maturities', 'rates permit portfolio managers', 'VBG VB VBN NNS', 'NNS VBP NN NNS', 'money paid for the use of money'
'short-term rises recent blip', 'rates', 'JJ NNS JJ VBP', 'NNS', 'money paid for the use of money'
'% 83X4 holds coX', 'energy-services company elected director', 'NN AB VBZ NP', 'JJ NN VBN NN', 'a share in a company or business'
'company holding state-owned italian', 'mechanical engineering industry', 'NN VBG JJ JJ', 'JJ NN NN', 'a share in a company or business'
'plus refunded unreasonable cost', '', 'CC VBN JJ NN', '', 'money paid for the use of money'
'set curry judge month', 'rate refund 9 %', 'VBD NP NP NN', 'NN NN AB NN', 'money paid for the use of money'
'Xs country property intellectual', 'prompted improvements made south', 'POS NN NN JJ', 'VBD NNS VBN NP', 'advantage, advancement or favor'
'principal reduction significant feels', 'way debt problem may', 'NN NN JJ VBZ', 'NN NN NN MD', 'money paid for the use of money'
'increase right faulding gives', '70 % moleculon Xs', 'VB NN NP VBZ', 'AB NN NP POS', 'a share in a company or business'
'strong show purchases', 'japanese investors uXsX mortgage-based', 'JJ VBP NNS', 'JJ NNS NP JJ', 'readiness to give attention'
'early retired securities -mortgage-backed', 'rates decline prepayment forces', 'RB VBN NNS JJ', 'NNS VBP NN VBZ', 'money paid for the use of money'
'drop time', 'rates since spring failed', 'NN NN', 'NNS IN NN VBN', 'money paid for the use of money'
'drop predicted association bankers', 'rates eventually boost spending', 'NN VBD NP NP', 'NNS RB VB NN', 'money paid for the use of money'
'accrued plus par debentures', 'date purchase', 'VBN CC NN NNS', 'NN NN', 'money paid for the use of money'
'fluctuation dramatic assuming charges', 'rates company expects achieve', 'NN JJ VBG NNS', 'NNS NN VBZ VB', 'money paid for the use of money'
'international growing fueled also', 'japanese behavior', 'JJ JJ VBN RB', 'JJ NN', 'readiness to give attention'
'uXsX lower prospect say', 'rates spurred dollar buying', 'NP JJR NN VBP', 'NNS VBN NN VBG', 'money paid for the use of money'
'little showed market', 'evidence slowing uXsX economy', 'JJ VBD NN', 'NN VBG NP NN', 'readiness to give attention'
'short-term cut reserve federal', 'rates nXt clear whether', 'JJ VB NP NP', 'NNS RB JJ IN', 'money paid for the use of money'
'funds federal key cut', 'rate 0X25 percentage point', 'NNS JJ JJ VBD', 'NN AB NN NN', 'money paid for the use of money'
'higher resulting possibly schedule', 'costs taxpayer treasury secretary', 'JJR VBG RB NN', 'NNS NN NP NP', 'money paid for the use of money'
'business japanese important vitally', 'uXs', 'NN JJ JJ RB', 'NP', 'activity, etc. that one gives attention to'
'japanese heightened', 'american small business parallels', 'JJ JJ', 'JJ JJ NN VBZ', 'readiness to give attention'
'controlling bought corpX mitsubishi', 'glass company joint venture', 'VBG VBD NP NP', 'NN NN JJ NN', 'a share in a company or business'
'great incX america itoh', 'making investments particularly new', 'JJ NP NP NP', 'VBG NNS RB JJ', 'readiness to give attention'
'% 35 holds subsidiaries', 'trading company hopes double', 'NN AB VBZ NNS', 'NN NN VBZ VB', 'a share in a company or business'
'primarily customers competed banks', 'rates pay deposits charge', 'RB NNS VBN NNS', 'NNS VBP NNS VB', 'money paid for the use of money'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'semiannual million 1X64 $', 'payment due yesterday $', 'JJ AB AB NN', 'NN JJ NN NN', 'money paid for the use of money'
'variety illegal declared court', 'rate swap transactions options', 'NN JJ VBD NP', 'NN NN NNS NNS', 'money paid for the use of money'
'market sterling % 10', 'rate swap dealings', 'NN NN NN AB', 'NN NN NNS', 'money paid for the use of money'
'engage parties two', 'rate swap betting future', 'VBP NNS AB', 'NN NN VBG JJ', 'money paid for the use of money'
'fixed-rate make obligated institution', 'payments debt swaps payments', 'JJ VB VBD NN', 'NNS NN NNS NNS', 'money paid for the use of money'
'', 'rates rose municipalities owed', '', 'NNS VBD NNS VBD', 'money paid for the use of money'
'growing noting coX telegraph', '900 service stock sales', 'VBG VBG NP NP', 'AB NN NN NNS', 'readiness to give attention'
'dealing see rather much', 'rates deficit', 'VBG VB RB RB', 'NNS NN', 'money paid for the use of money'
'bonds series fourth million', 'subject federal alternative minimum', 'NNS NN JJ AB', 'JJ JJ NN NN', 'money paid for the use of money'
'important every fielded backers', 'team - popular mayor', 'JJ DT VBD NNS', 'NN ? JJ NN', 'advantage, advancement or favor'
'national protecting victims help', 'encouraging new drugs', 'JJ VBG NNS VB', 'VBG JJ NNS', 'advantage, advancement or favor'
'regarding uncertainty sidelines remained', 'rates dollar', 'VBG NN NNS VBD', 'NNS NN', 'money paid for the use of money'
'investor currency uXsX uncertainty', 'directed toward oil mining', 'NN NN NP NN', 'VBN IN NN NN', 'readiness to give attention'
'investor said dealers', 'focused defensive blue-chip stocks', 'NN VBD NNS', 'VBN JJ JJ NNS', 'readiness to give attention'
'changes price measures return', 'income', 'NNS NN VBZ NN', 'NN', 'money paid for the use of money'
'Xs company clothing textile', 'expense exceeds operating profit', 'POS NN NN NN', 'NN VBZ NN NN', 'money paid for the use of money'
'signal incX holdings group', 'helping revive failed labor-management', 'VB NP NPS NP', 'VBG VB VBN JJ', 'readiness to give attention'
'% 20 % 10', 'chain january said fred', 'NN AB NN AB', 'NN NP VBD NP', 'a share in a company or business'
'unspecified pursue manager general', 'move news organization termed', 'JJ VB NN JJ', 'NN NN NN VBD', 'activity, etc. that one gives attention to'
'cited also company', 'costs amortization goodwill factors', 'VBD RB NN', 'NNS NN NN NNS', 'money paid for the use of money'
'decline toward point hope', 'rates', 'NN IN VB NN', 'NNS', 'money paid for the use of money'
'family mcalpine stock common', '$ 1 million $', 'NN NP NN JJ', 'NN AB AB NN', 'a share in a company or business'
'fluctuation dramatic assuming charges', 'rates association expects achieve', 'NN JJ VBG NNS', 'NNS NN VBZ VB', 'money paid for the use of money'
'short-term cut pressure coming', 'rates due apparent slowing', 'JJ VB NN VBG', 'NNS JJ JJ NN', 'money paid for the use of money'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'best Xs jaguar', 'company Xs future assured', 'JJS POS NP', 'NN POS NN VBN', 'advantage, advancement or favor'
