% File: interest_3-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'managers expect declines', 'rates', 'NNS VBP NNS', 'NNS', 'money paid for the use of money'
'thought indicate declining', 'rates permit portfolio', 'VBN VB VBG', 'NNS VBP NN', 'money paid for the use of money'
'recent rises short-term', 'rates', 'JJ NNS JJ', 'NNS', 'money paid for the use of money'
'holds 83X4 %', 'energy-services company elected', 'VBZ AB NN', 'JJ NN VBN', 'a share in a company or business'
'state-owned holding company', 'mechanical engineering industry', 'JJ VBG NN', 'JJ NN NN', 'a share in a company or business'
'unreasonable refunded plus', '', 'JJ VBN CC', '', 'money paid for the use of money'
'judge curry set', 'rate refund 9', 'NP NP VBD', 'NN NN AB', 'money paid for the use of money'
'property country Xs', 'prompted improvements made', 'NN NN POS', 'VBD NNS VBN', 'advantage, advancement or favor'
'significant reduction principal', 'way debt problem', 'JJ NN NN', 'NN NN NN', 'money paid for the use of money'
'faulding right increase', '70 % moleculon', 'NP NN VB', 'AB NN NP', 'a share in a company or business'
'purchases show strong', 'japanese investors uXsX', 'NNS VBP JJ', 'JJ NNS NP', 'readiness to give attention'
'securities retired early', 'rates decline prepayment', 'NNS VBN RB', 'NNS VBP NN', 'money paid for the use of money'
'time drop', 'rates since spring', 'NN NN', 'NNS IN NN', 'money paid for the use of money'
'association predicted drop', 'rates eventually boost', 'NP VBD NN', 'NNS RB VB', 'money paid for the use of money'
'par plus accrued', 'date purchase', 'NN CC VBN', 'NN NN', 'money paid for the use of money'
'assuming dramatic fluctuation', 'rates company expects', 'VBG JJ NN', 'NNS NN VBZ', 'money paid for the use of money'
'fueled growing international', 'japanese behavior', 'VBN JJ JJ', 'JJ NN', 'readiness to give attention'
'prospect lower uXsX', 'rates spurred dollar', 'NN JJR NP', 'NNS VBN NN', 'money paid for the use of money'
'market showed little', 'evidence slowing uXsX', 'NN VBD JJ', 'NN VBG NP', 'readiness to give attention'
'reserve cut short-term', 'rates nXt clear', 'NP VB JJ', 'NNS RB JJ', 'money paid for the use of money'
'key federal funds', 'rate 0X25 percentage', 'JJ JJ NNS', 'NN AB NN', 'money paid for the use of money'
'possibly resulting higher', 'costs taxpayer treasury', 'RB VBG JJR', 'NNS NN NP', 'money paid for the use of money'
'important japanese business', 'uXs', 'JJ JJ NN', 'NP', 'activity, etc. that one gives attention to'
'heightened japanese', 'american small business', 'JJ JJ', 'JJ JJ NN', 'readiness to give attention'
'corpX bought controlling', 'glass company joint', 'NP VBD VBG', 'NN NN JJ', 'a share in a company or business'
'america incX great', 'making investments particularly', 'NP NP JJ', 'VBG NNS RB', 'readiness to give attention'
